city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Brussels,Brussels,50.8467,4.3525,Belgium,BE,BEL,Brussels-Capital Region,primary,1235192.0,1056469830
Campinas,Campinas,-22.9058,-47.0608,Brazil,BR,BRA,São Paulo,,1213792.0,1076145766
Belgrade,Belgrade,44.8200,20.4600,Serbia,RS,SRB,Beograd,primary,1197714.0,1688374696
Chelyabinsk,Chelyabinsk,55.1547,61.3758,Russia,RU,RUS,Chelyabinskaya Oblast’,admin,1196680.0,1643224011
Nashville,Nashville,36.1715,-86.7842,United States,US,USA,Tennessee,admin,1177657.0,1840036155
Salt Lake City,Salt Lake City,40.7776,-111.9311,United States,US,USA,Utah,admin,1173879.0,1840021383
Omsk,Omsk,54.9833,73.3667,Russia,RU,RUS,Omskaya Oblast’,admin,1172070.0,1643360863
Samara,Samara,53.2028,50.1408,Russia,RU,RUS,Samarskaya Oblast’,admin,1169719.0,1643205757
Raleigh,Raleigh,35.8324,-78.6429,United States,US,USA,North Carolina,admin,1163152.0,1840014497
Edmonton,Edmonton,53.5344,-113.4903,Canada,CA,CAN,Alberta,admin,1151635.0,1124290735
Rostov,Rostov,47.2225,39.7100,Russia,RU,RUS,Rostovskaya Oblast’,admin,1137704.0,1643013518
Ufa,Ufa,54.7261,55.9475,Russia,RU,RUS,Bashkortostan,admin,1115560.0,1643722928
Mexicali,Mexicali,32.6633,-115.4678,Mexico,MX,MEX,Baja California,admin,1102342.0,1484788702
Sevilla,Sevilla,37.3900,-5.9900,Spain,ES,ESP,Andalusia,admin,1100000.0,1724991838
Cologne,Cologne,50.9364,6.9528,Germany,DE,DEU,North Rhine-Westphalia,,1084831.0,1276015998
Krasnoyarsk,Krasnoyarsk,56.0089,92.8719,Russia,RU,RUS,Krasnoyarskiy Kray,admin,1083865.0,1643544975
Nezahualcóyotl,Nezahualcoyotl,19.4081,-99.0186,Mexico,MX,MEX,México,minor,1077208.0,1484074285
Richmond,Richmond,37.5295,-77.4756,United States,US,USA,Virginia,admin,1073223.0,1840001698
Ciudad Nezahualcóyotl,Ciudad Nezahualcoyotl,19.4006,-99.0148,Mexico,MX,MEX,México,,1072676.0,1484016661
Ottawa,Ottawa,45.4247,-75.6950,Canada,CA,CAN,Ontario,primary,1068821.0,1124399363
Oslo,Oslo,59.9133,10.7389,Norway,NO,NOR,Oslo,primary,1064235.0,1578324706
Voronezh,Voronezh,51.6717,39.2106,Russia,RU,RUS,Voronezhskaya Oblast’,admin,1051995.0,1643811064
Perm,Perm,58.0000,56.3167,Russia,RU,RUS,Permskiy Kray,admin,1048005.0,1643294442
Memphis,Memphis,35.1087,-89.9663,United States,US,USA,Tennessee,,1037998.0,1840015457
São Luís,Sao Luis,-2.5283,-44.3044,Brazil,BR,BRA,Maranhão,admin,1037775.0,1076819308
Morelia,Morelia,19.7683,-101.1894,Mexico,MX,MEX,Michoacán,admin,1011704.0,1484669072
Odesa,Odesa,46.4775,30.7326,Ukraine,UA,UKR,Odeska Oblast,admin,1010537.0,1804178102
Arequipa,Arequipa,-16.4000,-71.5333,Peru,PE,PER,Arequipa,admin,1008290.0,1604723954
Volgograd,Volgograd,48.7086,44.5147,Russia,RU,RUS,Volgogradskaya Oblast’,admin,1004763.0,1643577201
Oklahoma City,Oklahoma City,35.4676,-97.5136,United States,US,USA,Oklahoma,admin,998806.0,1840020428
Bordeaux,Bordeaux,44.8400,-0.5800,France,FR,FRA,Nouvelle-Aquitaine,admin,994920.0,1250449238
Natal,Natal,-6.9838,-60.2699,Brazil,BR,BRA,Amazonas,,980588.0,1076336975
Hartford,Hartford,41.7661,-72.6834,United States,US,USA,Connecticut,admin,974684.0,1840004773
Dnipro,Dnipro,48.4675,35.0400,Ukraine,UA,UKR,Dnipropetrovska Oblast,admin,968502.0,1804152933
Málaga,Malaga,36.7194,-4.4200,Spain,ES,ESP,Andalusia,minor,967250.0,1724397372
Louisville,Louisville,38.1663,-85.6485,United States,US,USA,Kentucky,,963812.0,1840030815
Maceió,Maceio,-9.6658,-35.7350,Brazil,BR,BRA,Alagoas,admin,957916.0,1076440479
Teresina,Teresina,-5.0949,-42.8042,Brazil,BR,BRA,Piauí,admin,953172.0,1076727667
Krasnodar,Krasnodar,45.0333,38.9667,Russia,RU,RUS,Krasnodarskiy Kray,admin,948827.0,1643438227
Buffalo,Buffalo,42.9018,-78.8487,United States,US,USA,New York,,944589.0,1840000386
Trujillo,Trujillo,-8.1120,-79.0288,Peru,PE,PER,La Libertad,admin,935147.0,1604613706
Aguascalientes,Aguascalientes,21.8760,-102.2960,Mexico,MX,MEX,Aguascalientes,admin,934424.0,1484666646
New Orleans,New Orleans,30.0687,-89.9288,United States,US,USA,Louisiana,,932759.0,1840001839
Fort Worth,Fort Worth,32.7817,-97.3474,United States,US,USA,Texas,,924663.0,1840020696
Riga,Riga,56.9489,24.1064,Latvia,LV,LVA,Rīga,primary,920643.0,1428586192
Cartagena,Cartagena,10.4000,-75.5000,Colombia,CO,COL,Bolívar,admin,914552.0,1170886102
Naples,Naples,40.8333,14.2500,Italy,IT,ITA,Campania,admin,913462.0,1380646673
Santiago del Estero,Santiago del Estero,-27.7833,-64.2667,Argentina,AR,ARG,Santiago del Estero,admin,911506.0,1032492280
Naucalpan de Juárez,Naucalpan de Juarez,19.4753,-99.2378,Mexico,MX,MEX,México,minor,910407.0,1484850125
Bridgeport,Bridgeport,41.1918,-73.1954,United States,US,USA,Connecticut,,908251.0,1840004836
Donetsk,Donetsk,48.0028,37.8053,Ukraine,UA,UKR,Donetska Oblast,admin,901645.0,1804963805
Campo Grande,Campo Grande,-20.4839,-54.6150,Brazil,BR,BRA,Mato Grosso do Sul,admin,897938.0,1076660445
São Gonçalo,Sao Goncalo,-22.8269,-43.0539,Brazil,BR,BRA,Rio de Janeiro,,896744.0,1076485783
Bucaramanga,Bucaramanga,7.1333,-73.0000,Colombia,CO,COL,Santander,admin,893040.0,1170940590
Mérida,Merida,20.9700,-89.6200,Mexico,MX,MEX,Yucatán,admin,892363.0,1484396779
Cancún,Cancun,21.1606,-86.8475,Mexico,MX,MEX,Quintana Roo,minor,888797.0,1484010310
Tucson,Tucson,32.1541,-110.8787,United States,US,USA,Arizona,,878320.0,1840022101
Chihuahua,Chihuahua,28.6369,-106.0769,Mexico,MX,MEX,Chihuahua,admin,878062.0,1484335603
Marseille,Marseille,43.2964,5.3700,France,FR,FRA,Provence-Alpes-Côte d’Azur,admin,873076.0,1250774071
El Paso,El Paso,31.8476,-106.4300,United States,US,USA,Texas,,865270.0,1840023252
Saltillo,Saltillo,25.4231,-100.9919,Mexico,MX,MEX,Coahuila,admin,864431.0,1484107245
El Dorado,El Dorado,24.8080,-107.3970,Mexico,MX,MEX,Sinaloa,,858638.0,1484719986
Portsmouth,Portsmouth,50.8058,-1.0872,United Kingdom,GB,GBR,Portsmouth,,855679.0,1826964096
Tyumen,Tyumen,57.1500,65.5333,Russia,RU,RUS,Tyumenskaya Oblast’,admin,855600.0,1643040435
Southampton,Southampton,50.9025,-1.4042,United Kingdom,GB,GBR,Southampton,,855569.0,1826602892
Hermosillo,Hermosillo,29.0989,-110.9542,Mexico,MX,MEX,Sonora,admin,855563.0,1484015319
Saratov,Saratov,51.5333,46.0167,Russia,RU,RUS,Saratovskaya Oblast’,admin,845300.0,1643556540
Iguaçu,Iguacu,-22.7400,-43.4700,Brazil,BR,BRA,Rio de Janeiro,,844583.0,1076339714
Turin,Turin,45.0792,7.6761,Italy,IT,ITA,Piedmont,admin,841600.0,1380244627
João Pessoa,Joao Pessoa,-7.1200,-34.8800,Brazil,BR,BRA,Paraíba,admin,833932.0,1076922014
Omaha,Omaha,41.2627,-96.0529,United States,US,USA,Nebraska,,821345.0,1840009315
São Bernardo do Campo,Sao Bernardo do Campo,-23.7000,-46.5500,Brazil,BR,BRA,São Paulo,,810729.0,1076793227
Culiacán,Culiacan,24.8069,-107.3939,Mexico,MX,MEX,Sinaloa,admin,808416.0,1484516810
Cúcuta,Cucuta,7.8942,-72.5039,Colombia,CO,COL,Norte de Santander,admin,806378.0,1170743755
Kraków,Krakow,50.0614,19.9372,Poland,PL,POL,Małopolskie,admin,804237.0,1616172264
Thessaloníki,Thessaloniki,40.6403,22.9347,Greece,GR,GRC,Kentrikí Makedonía,admin,802572.0,1300397999
Querétaro,Queretaro,20.5875,-100.3928,Mexico,MX,MEX,Querétaro,admin,801940.0,1484604775
Palermo,Palermo,2.8917,-75.4375,Colombia,CO,COL,Huila,minor,800000.0,1170614290
McAllen,McAllen,26.2252,-98.2467,United States,US,USA,Texas,,797341.0,1840021024
Hempstead,Hempstead,40.6629,-73.6089,United States,US,USA,New York,,789763.0,1840005293
Leeds,Leeds,53.7975,-1.5436,United Kingdom,GB,GBR,Leeds,,789194.0,1826343963
Birmingham,Birmingham,33.5279,-86.7971,United States,US,USA,Alabama,,782111.0,1840006507
Bilbao,Bilbao,43.2569,-2.9236,Spain,ES,ESP,Basque Country,minor,775000.0,1724331267
Frankfurt,Frankfurt,50.1106,8.6822,Germany,DE,DEU,Hesse,minor,773068.0,1276054552
San Luis Potosí,San Luis Potosi,22.1511,-100.9761,Mexico,MX,MEX,San Luis Potosí,admin,772828.0,1484583620
Albuquerque,Albuquerque,35.1054,-106.6465,United States,US,USA,New Mexico,,769986.0,1840019176
Zagreb,Zagreb,45.8131,15.9775,Croatia,HR,HRV,"Zagreb, Grad",primary,767131.0,1191233290
